# tau_s	eta_s	t_dec
1.65177154	1.20566e-01	144.483
1.94268028	1.34433e-01	131.253
1.27218718	1.40513e-01	113.060
0.09057581	3.99443e-02	110.397
0.83855567	1.37602e-01	106.449
1.96794503	1.06226e-01	135.215
1.90787018	1.20167e-01	160.415
1.41170988	3.23212e-02	159.915
1.49120681	1.34037e-01	126.988
0.12814506	1.51525e-02	142.705
0.35306378	1.02655e-03	135.927
1.51129842	1.22633e-01	102.700
1.26496445	1.39463e-01	120.075
1.51229278	1.90110e-02	101.595
1.70458346	9.06617e-03	122.892
0.68147254	1.59234e-01	143.379
1.43398372	1.22747e-01	118.050
1.40847011	1.16090e-01	110.272
1.97770792	3.32748e-02	100.629
0.59499133	1.56756e-01	127.472
1.53392185	1.38817e-03	136.098
0.97577313	9.44020e-02	123.216
0.15473364	2.69249e-03	128.037
1.19356893	4.66464e-03	109.542
1.27561270	1.52476e-01	146.751
1.98017102	7.74450e-02	166.384
1.57376338	1.15593e-01	121.958
1.99852854	6.38530e-02	161.569
0.07395627	1.26301e-01	151.737
0.39475067	3.89572e-03	104.203
0.84490175	1.29959e-01	151.314
1.61968854	1.21944e-01	128.158
1.52467742	1.06960e-01	101.488
1.39900602	6.62023e-02	125.158
0.07661403	7.57358e-02	117.361
0.86754673	1.48504e-01	101.439
0.30688106	1.58691e-02	133.944
1.75631455	7.38300e-02	127.178
1.69633976	8.93247e-02	124.542
0.73008223	2.92312e-03	116.886
1.53901450	1.55311e-01	153.990
1.23349733	1.21109e-01	123.805
0.07038353	1.05883e-01	124.483
1.69470285	1.48257e-02	113.466
1.61463581	9.10397e-02	169.232
1.01719567	1.48407e-01	113.355
1.54341521	1.45153e-02	108.221
1.75817737	1.09155e-01	153.173
1.58037598	8.72456e-02	105.389
0.87130520	8.91737e-02	110.512
0.54003697	1.51676e-01	139.628
0.55769479	1.38284e-01	113.990
1.04683653	1.47182e-01	164.266
1.19180267	1.21784e-01	101.772
0.72420286	1.27211e-01	114.896
1.33874764	1.11506e-01	102.964
1.06102751	6.75698e-02	101.046
1.21129430	7.66989e-02	108.439
1.96802138	3.47765e-02	163.619
1.86382962	1.28326e-01	143.686
1.33234366	1.59489e-01	152.665
1.75034034	9.84069e-02	129.936
1.22182510	1.12034e-01	108.562
1.88843808	7.17561e-03	105.826
1.84194571	4.55408e-02	130.168
1.39017120	1.04477e-01	134.865
1.86460797	1.19818e-01	134.024
1.64434307	3.83447e-02	158.498
0.58934553	1.32807e-01	135.099
1.83497156	4.41876e-03	130.532
1.55274807	9.93619e-02	128.900
0.85621981	3.56008e-02	131.074
0.11096596	1.72207e-06	121.288
1.97566191	5.06824e-02	154.775
1.35078608	1.23510e-01	150.307
1.70313254	4.24770e-02	109.761
0.97625529	1.12874e-01	106.867
0.69949137	1.39978e-01	101.207
1.45718209	8.67324e-02	131.478
1.88348596	1.24180e-02	144.309
0.89100178	1.22880e-01	111.429
1.24960576	1.00622e-01	141.491
1.50274547	4.56933e-02	163.691
1.44721908	1.20907e-01	131.764
1.32360782	1.43718e-01	129.134
0.83302874	9.83840e-03	107.660
1.56070342	1.55508e-01	136.863
1.77965057	1.74874e-02	102.240
1.54197909	7.24978e-02	130.443
1.11024213	1.54955e-01	152.426
1.85750790	3.77788e-02	105.781
1.99192112	1.03249e-02	123.404
1.25953729	1.94828e-02	103.118
0.25145854	1.07962e-02	108.044
1.72752927	5.82491e-02	125.791
1.33555840	6.41730e-02	109.095
1.67165869	1.33328e-02	129.751
1.07721940	2.71386e-02	106.966
1.15188613	1.15404e-01	155.962
1.09059991	2.82254e-02	121.079
1.95435706	7.01510e-02	121.896
0.27014220	7.30774e-03	118.493
1.18367819	2.11013e-02	112.251
1.90413332	4.90685e-02	161.281
1.34996237	1.14109e-01	140.310
1.58662652	4.08903e-02	137.427
1.40252588	8.26088e-02	102.930
1.22430447	1.47880e-01	161.142
0.57579521	1.16148e-02	107.216
1.77436906	5.58500e-02	103.505
1.48322740	1.45471e-01	148.823
1.82186618	7.20535e-02	169.755
1.21508107	5.70295e-02	113.687
1.63225361	1.02771e-01	143.152
1.92246717	5.68016e-02	109.322
1.29344845	9.17105e-02	107.179
1.82786123	9.66225e-02	141.708
1.48633414	8.37790e-02	115.980
0.00549082	2.90068e-02	134.307
0.23165552	4.96705e-02	138.713
1.74165462	2.68414e-02	166.206
0.81920705	1.46749e-01	126.258
1.95869532	2.60188e-02	122.682
1.92680021	1.48905e-01	134.286
1.17000941	1.10181e-01	128.458
1.11572503	1.50313e-01	135.360
0.80341908	1.15937e-01	120.352
1.17840084	1.30402e-01	131.567
0.42647257	1.25584e-01	128.319
0.46919263	8.88291e-03	115.884
1.93326658	1.41487e-01	140.477
1.85555910	2.85551e-02	128.569
1.73137959	3.45191e-02	133.423
1.45487669	6.86593e-03	113.735
1.67964304	8.62616e-02	140.202
1.86008376	5.77764e-02	166.890
1.53046693	5.20263e-02	101.988
1.69961799	8.75149e-02	158.876
0.56789288	1.32097e-02	132.003
0.10238121	8.13902e-02	167.131
0.05597599	2.32624e-02	165.662
1.72131841	6.54304e-03	158.779
0.89712776	1.58877e-01	122.582
0.50677127	6.64383e-02	159.296
0.15620874	9.07148e-02	100.469
0.51338449	4.05631e-02	102.587
1.26349161	9.68884e-02	126.192
0.42965536	1.57148e-01	123.579
1.34443952	1.49468e-02	109.122
0.34253596	1.49763e-01	140.385
1.47371034	1.12549e-01	167.926
0.39701898	2.62698e-02	101.118
1.78285200	2.11664e-02	119.251
1.66501118	2.95424e-02	123.612
1.71626486	2.49510e-02	108.066
0.60858386	1.83386e-02	118.644
1.05865705	5.15536e-02	100.676
1.68633108	1.22532e-01	166.603
0.40865756	2.06162e-02	107.597
1.80553110	4.15642e-02	122.366
1.62918418	3.07236e-02	116.740
0.35525670	5.30856e-03	125.250
1.12853293	1.28776e-01	117.950
0.98998844	5.32534e-02	110.437
0.17244611	1.52917e-01	134.962
0.99238816	1.45825e-01	120.160
1.57614996	5.86395e-02	133.620
1.85396400	9.48772e-02	164.899
0.31772349	2.67168e-02	128.650
0.43975991	1.51177e-01	112.840
1.31571732	7.55937e-02	115.580
0.47887806	1.25082e-01	169.842
1.54417643	3.28032e-02	130.943
1.76510018	1.33217e-01	135.505
1.80257283	1.10340e-01	164.591
1.68355905	4.18714e-02	102.769
1.81180713	6.54639e-02	138.618
1.20622355	8.47614e-02	143.802
1.20177839	4.65944e-02	105.165
0.64450469	1.39249e-01	123.108
1.91416424	5.45798e-02	121.069
1.17272778	9.60740e-02	112.510
0.46123261	4.00731e-02	110.137
0.80840774	5.12768e-02	153.552
0.05657523	6.09475e-03	147.956
1.79190681	1.43322e-02	150.435
1.81341820	5.74810e-02	115.164
1.50505144	9.23387e-02	146.015
1.08289511	1.18972e-01	112.652
1.67512979	5.58161e-02	169.331
0.44990542	1.45189e-01	168.109
0.04614890	1.50424e-01	118.899
0.95793875	4.94828e-02	117.218
1.18166544	1.20664e-01	142.796
0.88683412	1.26999e-01	169.935
1.57048225	3.04331e-02	169.541
0.22444759	1.56235e-01	145.344
0.94429144	1.07534e-01	113.634
1.01244283	2.26620e-02	167.998
0.91519387	5.18249e-02	124.007
1.30522194	1.44402e-01	154.898
0.83599621	8.60918e-02	141.379
1.00107214	2.73091e-02	160.880
1.55186216	3.27114e-02	106.169
0.75562594	1.11941e-01	108.988
0.55116181	1.29356e-01	100.342
1.45944158	2.40759e-02	118.927
1.60149661	4.68051e-02	123.747
0.00888592	1.00638e-02	158.331
0.01181276	8.56033e-02	104.692
0.52954210	9.66907e-02	153.337
1.43437488	2.73763e-02	112.118
1.64008444	6.99556e-02	158.024
0.04479701	7.29813e-02	108.885
0.32735461	7.33748e-02	104.404
0.08858250	1.46452e-01	168.978
0.01523292	1.34583e-01	127.084
0.36489367	8.78966e-02	101.869
1.14892340	1.31679e-01	161.400
1.55568909	9.35688e-03	144.415
0.60734572	1.24095e-01	124.841
0.19817965	3.21392e-02	151.452
1.37253523	6.09628e-02	137.141
0.64916338	5.04130e-02	114.776
1.74985080	1.47243e-01	139.307
0.19107714	1.41076e-01	112.247
0.37857692	1.36560e-01	110.883
1.94433369	6.07784e-02	147.435
1.40597287	2.53640e-02	166.344
0.33206530	2.93946e-02	112.785
1.58356563	6.26843e-02	163.905
1.20988537	4.17236e-02	111.829
1.61787172	1.01056e-01	156.422
1.45083497	4.28520e-02	110.355
0.38684060	1.32580e-01	104.079
1.50998561	1.30223e-01	147.108
1.05686893	1.24224e-01	150.845
0.23289387	1.11336e-01	101.378
0.41548561	3.96066e-02	122.014
0.81205527	9.35655e-04	146.316
0.17810237	1.29878e-01	157.912
1.24477794	8.85196e-02	120.292
0.22695388	1.35425e-01	146.250
1.31160346	2.99979e-02	146.875
1.56492521	1.33357e-01	135.724
0.16046700	6.46606e-02	113.298
1.50065087	1.23695e-01	163.035
1.76980700	8.89405e-02	149.768
0.99840028	9.29213e-02	115.668
0.66025006	1.05437e-01	118.599
1.59314429	1.56670e-02	155.155
0.95287087	5.56337e-03	112.915
1.27998502	6.30478e-02	119.743
1.62592474	1.03588e-01	163.380
1.63509320	5.98187e-02	118.229
1.38753944	4.29170e-02	143.078
1.92196318	7.65512e-02	141.876
0.74197777	2.62014e-02	154.970
0.71837114	3.02145e-02	115.908
0.93369985	9.11661e-02	100.763
0.81777180	5.65008e-02	106.512
1.18606583	3.72546e-02	161.106
1.78578710	6.98299e-02	146.102
0.46419841	1.40915e-01	144.684
1.48407424	7.43715e-02	141.770
1.01106755	1.31839e-01	123.500
0.93693348	1.45988e-01	140.789
1.04850986	1.37328e-01	145.157
0.65684766	5.29856e-02	133.729
1.60255869	1.38648e-01	142.207
1.44230436	7.80316e-02	156.335
0.92232691	1.24951e-01	129.003
1.27664366	1.58663e-01	139.264
0.51411772	2.50128e-02	127.675
0.36983232	1.91818e-02	121.704
1.66023897	2.64679e-02	150.361
0.20298593	1.26506e-01	104.881
1.81659365	7.03679e-02	162.685
0.96997052	1.04124e-01	160.144
1.47174120	7.90306e-03	150.695
1.31338754	8.05850e-03	131.201
0.29678689	5.73010e-02	117.261
1.46065258	5.54674e-02	115.398
1.02020923	3.10816e-02	127.518
1.67698603	5.07544e-02	146.923
1.41668368	1.08325e-01	149.975
1.35471487	1.33691e-01	134.495
0.74498229	2.29054e-02	148.110
1.72490287	4.09905e-02	152.165
0.68898885	1.22278e-01	154.129
0.78559749	1.29683e-01	134.700
1.06382637	1.26980e-02	155.571
0.46728081	1.19948e-01	114.732
0.82275282	1.37815e-01	160.630
0.76213656	1.36492e-02	142.441
0.18084814	2.07123e-03	159.084
1.20294981	1.30572e-01	154.683
0.07969141	3.57359e-02	140.145
0.82133119	1.65443e-02	115.037
0.73844883	9.50932e-02	100.537
0.90109210	1.13806e-01	145.650
0.20049653	8.38455e-03	152.753
1.10986711	1.25062e-02	163.703
0.17676402	1.38920e-01	120.599
0.67574972	8.09962e-02	103.037
0.95178571	6.96911e-02	116.846
0.67099241	9.77766e-02	107.365
1.30650239	1.38254e-02	162.899
0.53527699	5.29517e-02	127.150
1.43789335	1.43862e-01	138.996
0.59162898	4.59285e-03	143.657
0.37373044	1.35952e-01	119.886
1.44485398	5.27063e-02	169.626
0.70153542	1.41209e-01	144.646
1.23444207	6.79503e-02	152.314
1.23898176	1.42895e-01	139.888
0.16502539	1.37467e-01	136.940
1.38368256	1.13351e-02	137.677
1.26969627	3.03514e-02	124.736
1.39215349	7.71333e-03	157.140
0.61464831	1.14814e-01	104.058
0.96518050	1.44881e-01	150.617
0.22179894	9.08251e-02	107.477
0.76885380	8.64981e-03	132.433
1.46954558	5.25210e-02	128.388
0.20555870	3.90000e-02	116.135
0.60212210	8.35319e-02	109.470
1.35701180	4.19624e-02	116.484
1.14333762	6.83974e-02	137.992
